GEO_ID,NAME,housing_units,vacant_units,owner_units,renter_units
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",4156,213,876,3067
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",3182,0,595,2587
1400000US36005021100,"Census Tract 211, Bronx County, New York",1972,116,95,1761
1400000US36005021200,"Census Tract 212, Bronx County, New York",2292,145,436,1711
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",457,8,76,373
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",2158,141,41,1976
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",1445,56,19,1370
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",2221,68,61,2092
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",1760,105,291,1364
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",2587,158,411,2018
1400000US36005021700,"Census Tract 217, Bronx County, New York",1866,187,17,1662
1400000US36005021800,"Census Tract 218, Bronx County, New York",2462,142,486,1834
1400000US36005021900,"Census Tract 219, Bronx County, New York",452,54,0,398
1400000US36005022000,"Census Tract 220, Bronx County, New York",720,44,13,663
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",1294,33,0,1261
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",1746,57,34,1655
1400000US36005022200,"Census Tract 222, Bronx County, New York",1193,53,165,975
1400000US36005022300,"Census Tract 223, Bronx County, New York",1884,39,0,1845
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",1185,51,145,989
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",1361,20,158,1183
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",1849,16,406,1427
1400000US36005022500,"Census Tract 225, Bronx County, New York",2395,67,67,2261
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",1898,42,51,1805
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",577,0,4,573
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",599,12,11,576
1400000US36005022800,"Census Tract 228, Bronx County, New York",2480,148,241,2091
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",2057,87,79,1891
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",1159,54,142,963
1400000US36005023000,"Census Tract 230, Bronx County, New York",1029,81,228,720
1400000US36005023100,"Census Tract 231, Bronx County, New York",462,7,29,426
1400000US36005023200,"Census Tract 232, Bronx County, New York",892,83,330,479
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",1627,82,50,1495
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",1023,35,1,987
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",1118,0,0,1118
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",1741,72,67,1602
1400000US36005023600,"Census Tract 236, Bronx County, New York",623,17,97,509
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",360,29,6,325
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",1640,46,10,1584
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",1386,61,16,1309
1400000US36005023800,"Census Tract 238, Bronx County, New York",916,113,270,533
1400000US36005023900,"Census Tract 239, Bronx County, New York",2672,162,41,2469
1400000US36005024000,"Census Tract 240, Bronx County, New York",1422,138,354,930
